"","ASV_code","Sample","Count","Relative_Abundance"
"283","ASV48","SCF049-1",0,0
"284","ASV48","SCF049-2",0,0
"285","ASV48","SCF049-3",0,0
"286","ASV48","SCF055-1",0,0
"287","ASV48","SCF055-4",1487,0.00226852847712631
"288","ASV48","SCF055-5",0,0
"289","ASV49","SCF049-1",0,0
"290","ASV49","SCF049-2",0,0
"291","ASV49","SCF049-3",0,0
"292","ASV49","SCF055-1",0,0
"293","ASV49","SCF055-4",1387,0.00211597108122003
"294","ASV49","SCF055-5",0,0
"295","ASV50","SCF049-1",0,0
"296","ASV50","SCF049-2",0,0
"297","ASV50","SCF049-3",0,0
"298","ASV50","SCF055-1",0,0
"299","ASV50","SCF055-4",1266,0.00193137663217344
"300","ASV50","SCF055-5",0,0
"301","ASV51","SCF049-1",535,0.000568305546555909
"302","ASV51","SCF049-2",0,0
"303","ASV51","SCF049-3",676,0.00142342459955655
"304","ASV51","SCF055-1",0,0
"305","ASV51","SCF055-4",0,0
"306","ASV51","SCF055-5",0,0
"307","ASV52","SCF049-1",0,0
"308","ASV52","SCF049-2",0,0
"309","ASV52","SCF049-3",0,0
"310","ASV52","SCF055-1",0,0
"311","ASV52","SCF055-4",1179,0.00179865169773498
"312","ASV52","SCF055-5",0,0
"313","ASV53","SCF049-1",0,0
"314","ASV53","SCF049-2",1177,0.0037610803279841
"315","ASV53","SCF049-3",0,0
"316","ASV53","SCF055-1",0,0
"317","ASV53","SCF055-4",0,0
"318","ASV53","SCF055-5",0,0
"319","ASV54","SCF049-1",1157,0.00122902713526203
"320","ASV54","SCF049-2",0,0
"321","ASV54","SCF049-3",0,0
"322","ASV54","SCF055-1",0,0
"323","ASV54","SCF055-4",0,0
"324","ASV54","SCF055-5",0,0
"325","ASV55","SCF049-1",1121,0.00119078601437229
"326","ASV55","SCF049-2",0,0
"327","ASV55","SCF049-3",0,0
"328","ASV55","SCF055-1",0,0
"329","ASV55","SCF055-4",0,0
"330","ASV55","SCF055-5",0,0
"331","ASV56","SCF049-1",0,0
"332","ASV56","SCF049-2",0,0
"333","ASV56","SCF049-3",0,0
"334","ASV56","SCF055-1",0,0
"335","ASV56","SCF055-4",1098,0.0016750802070509
"336","ASV56","SCF055-5",0,0
"337","ASV57","SCF049-1",0,0
"338","ASV57","SCF049-2",0,0
"339","ASV57","SCF049-3",0,0
"340","ASV57","SCF055-1",0,0
"341","ASV57","SCF055-4",1074,0.00163846643203339
"342","ASV57","SCF055-5",0,0
"343","ASV58","SCF049-1",568,0.000603359907371507
"344","ASV58","SCF049-2",477,0.00152424410913204
"345","ASV58","SCF049-3",0,0
"346","ASV58","SCF055-1",0,0
"347","ASV58","SCF055-4",0,0
"348","ASV58","SCF055-5",0,0
"349","ASV59","SCF049-1",0,0
"350","ASV59","SCF049-2",0,0
"351","ASV59","SCF049-3",0,0
"352","ASV59","SCF055-1",0,0
"353","ASV59","SCF055-4",1002,0.00152862510698087
"354","ASV59","SCF055-5",0,0
"355","ASV60","SCF049-1",924,0.000981522102836748
"356","ASV60","SCF049-2",0,0
"357","ASV60","SCF049-3",0,0
"358","ASV60","SCF055-1",0,0
"359","ASV60","SCF055-4",0,0
"360","ASV60","SCF055-5",0,0
"361","ASV61","SCF049-1",912,0.000968775062540166
"362","ASV61","SCF049-2",0,0
"363","ASV61","SCF049-3",0,0
"364","ASV61","SCF055-1",0,0
"365","ASV61","SCF055-4",0,0
"366","ASV61","SCF055-5",0,0
"367","ASV62","SCF049-1",0,0
"368","ASV62","SCF049-2",0,0
"369","ASV62","SCF049-3",0,0
"370","ASV62","SCF055-1",892,0.00378366914103924
"371","ASV62","SCF055-4",0,0
"372","ASV62","SCF055-5",0,0
"373","ASV63","SCF049-1",0,0
"374","ASV63","SCF049-2",0,0
"375","ASV63","SCF049-3",0,0
"376","ASV63","SCF055-1",0,0
"377","ASV63","SCF055-4",875,0.0013348772141799
"378","ASV63","SCF055-5",0,0
"379","ASV64","SCF049-1",0,0
"380","ASV64","SCF049-2",0,0
"381","ASV64","SCF049-3",0,0
"382","ASV64","SCF055-1",872,0.00369883351007423
"383","ASV64","SCF055-4",0,0
